isbn,title,image URL,description
116050105X 9791160501056,부자를 만드는 부부의 법칙,https://bookthumb-phinf.pstatic.net/cover/116/121/11612161.jpg?type=m1&udate=20190321,"똑똑한 신혼 재테크가 평생 부를 만든다!
『부자를 만드는 부부의 법칙』은 재테크카페 ‘짠돌이카페’에서 최강의 부부 합심 재테크력을 자랑하는 8쌍의 부부를 엄선해 그들의 파란만장한 돈과 결혼 이야기를 담은 책이다. 남북통일보다 어렵다는 부부의 통장 합치기 비결, 티 안 나게 짠돌이 생활하는 법... "
1160502986 9791160502985,"이제, 돈 되는 경매다 (돈 없는 당신도 집주인, 상가주인, 땅주인이 될 수 있다!)",https://bookthumb-phinf.pstatic.net/cover/126/303/12630363.jpg?type=m1&udate=20180404,"돈 없는 당신도 집주인, 상가주인, 땅주인이 될 수 있다!
토지, 상가, 주거용 물건까지! 돈 되는 경매의 시작을 함께하는 경매의 정석! 돈이 되는 경매는 도대체 무엇일까? 경험과 지식으로 무장한 경매 상황별/단계별 노하우 공개한다. 이제 혼자서 쩔쩔매지 않는다! 경매로 인생이 바뀐 사람들의 이야기& 경매... "
1160504458 9791160504453,글로벌경제 상식사전,https://bookthumb-phinf.pstatic.net/cover/134/839/13483967.jpg?type=m1&udate=20190130,"경제 왕초보를 위한 세계경제 트렌드 & 상식 이야기
세계경제의 흐름을 알아야 돈이 보인다!세계경제 트렌드와 상식으로 키우는 경제를 읽는 힘 [글로벌경제 상식사전]. 중국의 사드보복, 트럼프의 환율조작국 지정 등 외교문제가 경제제재로까지 이어지는 요즘, 특히나 급변하는 사회에서 세계경제의 흐름을... "
1187345407 9791187345404,블로그운영 & 마케팅 무작정따라하기,https://bookthumb-phinf.pstatic.net/cover/109/098/10909821.jpg?type=m1&udate=20170711,"탄탄하게 시작하고 꾸준하게 운영하여 마케팅까지 활용하는 블로그!
누구나 블로그를 만들기는 쉽지만 막상 블로그를 만들고나면 어떤 콘텐츠를 채워야할지, 어디부터 만들어가야 할지 막막해진다. 목적에 맞게 탄탄하게 시작하고 방문자를 꾸준하게 부를 수 있는 블로그가 될 수 있도록 운영해야 마케팅에도... "
1186978988 9791186978986,대박 옷가게 무작정 따라하기,https://bookthumb-phinf.pstatic.net/cover/105/900/10590052.jpg?type=m1&udate=20170711,"『대박 옷가게 무작정 따라하기』의 저자 김승민, 오은미 부부는 15년 전 자본금 2,000만원으로 여대 앞 4평 쪽가게에서 옷가게를 시작했다. 옷가게는 연매출 5억원을 달성하며 승승장구 했고 이어 시작한 인터넷 쇼핑몰도 성공을 거두었다. 저자들은 자신들의 경험을 바탕으로 현실적인 옷가게 창업 이야기와... "
1186659084 9791186659083,처음 만나는 회계 1교시 (숫자가 어려운 당신을 위한 재무제표 핵심 학습법),https://bookthumb-phinf.pstatic.net/cover/092/211/09221189.jpg?type=m1&udate=20161031,"재무상태표와 손익계산서만 제대로 이해해도 회계는 끝!회계의 핵심은 기업의 경영 상태를 파악하는 것으로, 이를 위해서는 재무제표를 볼 줄 알아야 한다. 『처음 만나는 회계 1교시』는은 재무재표, 그중에서도 재무상태표와 손익계산서에 집중해서 회계를 알려준다. 이때 분개의 흐름을 3단계로 쪼개어... "
1187345156 9791187345152,무역&오퍼상 무작정따라하기,https://bookthumb-phinf.pstatic.net/cover/106/599/10659992.jpg?type=m1&udate=20190203,"『무역&오퍼상 무작정 따라하기』는 복잡한 무역이론보다 왕초보도 맨손으로 무역창업을 할 수 있는 실무정보 위주로 구성했다. 1단계 수출준비, 2단계 시장개척, 3단계 수출계약, 4단계 선적작업 등 무역실무를 단계별로 차근차근 알려준다. 오퍼시트, 신용장, 이메일 거래제의서, 수출통관서류 등 각종... "
1160505985 9791160505986,30분 금융학 (돈의 구조가 보이는 금융용어 95),https://bookthumb-phinf.pstatic.net/cover/141/173/14117301.jpg?type=m1&udate=20190202,"돈의 구조가 보이는 금융용어 95&#x0D;『30분 금융학』&#x0D;&#x0D;돈은 몸속의 혈액과 같은 역할을 한다. 평소에는 인지하기 어렵지만 경제 위기, 인플레이션 등의 문제가 발생해 순환이 막히면 그제야 우리 주위를 둘러싼 돈에 대해 깨닫게 된다. 『30분 금융학』은 화폐의 탄생과 발행, 은행의 역할... "
116050444X 9791160504446,잘되는 가게의 영업비밀,https://bookthumb-phinf.pstatic.net/cover/134/591/13459197.jpg?type=m1&udate=20190202,"가격이 비싸도, 자리가 좋지 않아도 고객이 몰리는 대박 미용실의 3단계 단골 공식고객 재방문율을 50% 더 올리는 비법 대공개!"
1160502722 9791160502725,30분 회계학,https://bookthumb-phinf.pstatic.net/cover/125/383/12538372.jpg?type=m1&udate=20170919,"명문대의 4년 간 대학 공부를 한 번에 끝내는 〈30분 시리즈〉&#x0D;대학 4년 회계학 공부를 151개의 개념으로 끝낸다!&#x0D;&#x0D;일본에서 누적 판매부수 30만부 이상 팔린 베스트셀러 시리즈 『30분 경제학』에 이어 『30분 경영학』, 『30분 철학』 그리고 『30분 회계학』이 출간되었다. 대학 전공 강의의... "
